-,-,-
 -4, 1018
-34, -4, 1018
-22, -13, 1042
-15, -24, 1007
0, -45, 1018
-19, -58, 953
-17, -69, 959
-17, -69, 959
-16, -52, 992
-19, -76, 903
-8, -61, 979
-,-,-
28, -59, 998
17, -13, 983
-5, 27, 1002
-45, 19, 1007
-45, 19, 1007
-158, -14, 994
-37, -17, 996
-20, -24, 1003
-,-,-
-23, -15, 979
-23, -17, 1006
-24, -18, 999
-24, -18, 999
-23, -18, 999
-23, -18, 999
-24, -17, 1000
-30, -27, 1000
-,-,-
-18, -24, 999
-29, -17, 998
-17, -16, 1001
-23, -16, 1002
-28, -17, 1003
-28, -17, 1003
-20, -17, 1000
