-,-,-
81, -178, 549
81, -178, 549
178, -133, 563
155, 34, 366
381, 157, 361
544, 472, 427
544, 472, 427
349, 643, 772
327, 724, 886
460, 760, 907
670, 736, 740
349, 653, 437
349, 653, 437
-69, 481, 637
-151, 257, 682
97, 120, 498
-177, -21, 750
-659, -294, 1299
-923, -294, 1719
-923, -513, 1719
-1404, -595, 1962
-1998, -1092, 1998
-1967, -1170, 1998
-1997, -833, 1998
-1460, -294, 1861
-632, 101, 1441
-262, 287, 1373
-46, 443, 1171
129, 604, 891
129, 604, 891
516, 750, 572
1244, 818, 388
820, 853, 1053
-,-,-
-116, 378, 63
552, 566, 9
390, 863, 266
-192, 996, 533
-192, 996, 533
-27, 1081, 257
263, 1215, 192
14, 1088, 437
-67, 893, 568
118, 667, 648
422, 512, 522
422, 512, 522
-55, 333, 495
-611, 99, 784
-548, -19, 1123
-572, -71, 1144
-601, -241, 1527
-1174, -829, 1971
-1922, -1210, 1998
-1998, -1168, 1998
-1972, -835, 1998
-1677, -525, 1998
-1325, -229, 1986
-649, -3, 1439
-291, 128, 1029
-429, 248, 1034
-272, 467, 1032
135, 673, 910
379, 728, 623
379, 728, 623
741, 731, 515
-,-,-
462, 403, -301
462, 403, -301
530, 602, 15
163, 849, 546
96, 1011, 422
170, 1259, 157
-193, 1401, 221
-193, 1401, 221
-1003, 1256, 230
-994, 887, 184
-472, 593, -11
-231, 394, 289
216, 374, 858
534, 208, 1393
289, -173, 1705
-332, -456, 1875
-1123, -477, 1998
-1170, -817, 1998
-1483, -1134, 1998
-1902, -1182, 1998
-1922, -909, 1991
-1199, -610, 1643
-469, -237, 1300
-285, 36, 1126
-342, 350, 876
-48, 596, 732
315, 805, 672
315, 805, 672
600, 916, 956
-,-,-
875, 340, -141
875, 340, -141
522, 737, -88
42, 918, 230
347, 1215, 458
143, 1302, 607
-203, 1175, 813
-416, 943, 828
-416, 943, 828
-413, 666, 853
-375, 382, 791
-415, 108, 868
-633, -186, 1386
-503, -567, 1884
-518, -746, 1998
-667, -990, 1998
-902, -1530, 1998
-1392, -1717, 1998
-1614, -1152, 1998
-1331, -621, 1752
-877, -166, 1302
-501, 98, 1086
239, 303, 1074
425, 460, 1259
533, 630, 968
-,-,-
61, 46, -402
61, 46, -402
515, 446, -488
672, 792, -449
347, 1062, 36
60, 1145, 630
82, 1202, 907
82, 1202, 907
-225, 988, 910
-649, 580, 660
-567, 255, 696
-314, 31, 866
-11, -108, 1283
-259, -836, 1778
-722, -1444, 1998
-1275, -1319, 1998
-1208, -1211, 1998
-978, -1093, 1998
-914, -963, 1706
-807, -666, 1152
-435, -174, 905
-93, 165, 634
129, 312, 609
129, 312, 609
296, 416, 667
986, 677, 767
-,-,-
722, 392, -366
722, 392, -366
646, 893, -130
144, 1186, 293
-275, 1224, 342
-99, 1231, 179
-368, 1129, 309
-694, 890, 474
-378, 669, 687
-257, 294, 1053
-257, 294, 1053
95, -333, 1261
-78, -648, 1826
-769, -664, 1998
-988, -876, 1998
-811, -1299, 1998
-1109, -1599, 1998
-1438, -1283, 1998
-1283, -759, 1866
-856, -434, 1059
-311, -168, 844
73, 220, 999
433, 570, 967
696, 723, 785
-,-,-
392, 165, -718
354, 435, -621
167, 885, -250
167, 885, -250
25, 1164, -14
140, 1283, 59
4, 1285, 166
-291, 1175, 562
-340, 832, 901
-340, 832, 901
-389, 422, 711
-285, 138, 799
-176, -362, 988
-564, -822, 1724
-1442, -854, 1998
-1513, -1079, 1998
-814, -1321, 1998
-388, -1225, 1998
-423, -959, 1998
-455, -691, 1826
-394, -580, 1095
-243, -344, 1086
-351, -7, 1271
-332, 289, 1132
-9, 540, 785
518, 793, 819
781, 986, 1216
-,-,-
189, 484, -268
186, 646, -322
-147, 777, -81
-147, 777, -81
-304, 832, 233
-296, 886, 410
-235, 844, 547
-233, 650, 562
-315, 360, 747
-72, 140, 1029
10, -225, 1176
10, -225, 1176
-79, -805, 1418
-803, -1000, 1952
-1250, -1078, 1914
-493, -1105, 1996
-41, -1179, 1998
68, -1037, 1983
-220, -751, 1609
-246, -631, 1004
-99, -607, 1161
-196, -338, 1498
-306, 41, 1330
-22, 373, 867
606, 678, 668
922, 827, 1210
-,-,-
472, 517, -457
461, 935, -473
55, 1349, -337
55, 1349, -337
-337, 1578, 69
-512, 1469, 463
-520, 1226, 329
-275, 980, 685
211, 594, 1246
586, -128, 1626
247, -435, 1874
-638, -399, 1964
-1397, -818, 1998
-1027, -1524, 1998
-1088, -1906, 1998
-1411, -1600, 1998
-1353, -1087, 1953
-1039, -641, 1143
-490, -340, 500
55, -51, 609
258, 233, 1083
-,-,-
-51, 804, -250
-18, 874, -271
-198, 954, -123
-335, 994, 79
-335, 994, 79
-403, 923, 159
-630, 686, 486
-86, 503, 946
540, 314, 1269
678, 176, 1756
106, -188, 1769
-500, -869, 1836
-1088, -1357, 1946
-869, -1314, 1998
-769, -1508, 1998
-768, -1532, 1998
-734, -1105, 1767
-330, -664, 1281
55, -361, 1215
211, -207, 1092
56, 85, 1049
56, 85, 1049
328, 474, 856
-,-,-
309, 170, -42
279, 441, -40
238, 775, -156
22, 977, 78
-158, 1035, 272
-147, 1022, 402
-253, 909, 607
-253, 909, 607
-597, 596, 581
-734, 209, 425
-346, -100, 642
204, -404, 1201
284, -300, 1787
43, -348, 1959
-213, -594, 1705
-244, -949, 1937
-86, -1198, 1998
-161, -1183, 1998
-493, -1154, 1998
-699, -1102, 1998
-834, -759, 1998
-758, -304, 1823
-239, -42, 1050
149, 292, 724
249, 548, 547
249, 548, 547
356, 790, 732
-,-,-
66, 256, -549
183, 628, -689
183, 628, -689
31, 847, -124
-12, 1011, 347
-13, 1011, 411
-350, 870, 503
-542, 651, 620
-427, 402, 763
-141, 92, 756
-141, 92, 756
-62, -117, 927
99, -385, 1254
126, -576, 1501
-217, -707, 1827
-716, -891, 1862
-718, -1167, 1930
-365, -1423, 1998
-297, -1226, 1998
-371, -862, 1998
-321, -614, 1838
-147, -464, 1352
-234, -323, 1181
-320, -88, 1022
-205, 172, 720
-3, 398, 699
-3, 398, 699
164, 620, 1121
437, 759, 1272
759, 863, 1357
-,-,-
-129, -48, -347
182, 90, -830
142, 474, -724
168, 845, -43
104, 978, 17
104, 978, 17
22, 989, 211
-104, 957, 378
-62, 834, 613
-58, 587, 749
19, 186, 912
19, 186, 912
9, -206, 991
-438, -362, 1313
-732, -429, 1393
-684, -679, 1636
-313, -1052, 1754
-378, -1285, 1914
-356, -1204, 1998
110, -1008, 1998
315, -840, 1993
249, -720, 1816
79, -632, 1641
-75, -496, 1480
-238, -307, 1333
-221, -42, 1383
-221, -42, 1383
-43, 191, 1380
151, 388, 1146
-,-,-
218, -443, 472
212, -252, 116
237, -54, -351
190, 274, -524
17, 550, -666
-239, 862, -241
-319, 1070, 380
-178, 1086, 535
-178, 1086, 535
-370, 903, 380
-583, 701, 445
-437, 477, 647
-193, 261, 1054
6, -84, 1270
-161, -328, 1361
-290, -533, 1410
-338, -1010, 1633
-347, -1251, 1984
-612, -1215, 1998
-656, -1029, 1998
-500, -796, 1795
-60, -489, 1801
377, -362, 1975
405, -349, 1713
201, -229, 1490
-162, -43, 1204
-162, -43, 1204
39, 150, 896
22, 332, 867
91, 554, 1080
-,-,-
68, 63, -173
180, 261, -408
-25, 678, -296
44, 855, 96
44, 855, 96
31, 922, 291
-88, 887, 508
-261, 817, 765
-261, 817, 765
-217, 555, 780
-282, 201, 570
-270, -60, 391
-133, -98, 711
-32, -181, 1209
25, -512, 1328
-209, -590, 1509
-112, -434, 1978
273, -410, 1998
533, -658, 1998
533, -658, 1998
368, -948, 1998
-68, -974, 1998
-380, -787, 1863
-287, -649, 1569
-363, -534, 1525
-569, -352, 1432
-510, -70, 1193
-46, 261, 1085
258, 426, 1015
330, 579, 1101
382, 899, 1065
-,-,-
-9, -98, -226
-9, -98, -226
-71, 54, -940
239, 403, -935
166, 799, -356
-334, 994, 144
-394, 1006, 270
-172, 952, 199
-172, 952, 199
-231, 845, 358
-198, 697, 639
-7, 389, 1003
127, 20, 960
73, -228, 849
73, -228, 849
97, -503, 1187
53, -764, 1786
-305, -984, 1998
-592, -1206, 1998
-573, -1517, 1843
-487, -1490, 1913
-708, -1103, 1998
-726, -657, 1869
-342, -296, 1494
58, 6, 1239
452, 284, 1142
713, 527, 1189
758, 630, 1265
-,-,-
342, -261, -70
265, 3, -3
137, 425, -161
61, 671, -86
61, 671, -86
-144, 814, 82
-223, 906, 225
-292, 955, 556
-432, 844, 883
-536, 574, 826
-536, 574, 826
-309, 243, 734
231, 9, 870
519, -203, 1196
683, -491, 1406
387, -695, 1625
-198, -936, 1905
-400, -1336, 1946
-380, -1518, 1998
-373, -1357, 1998
-353, -972, 1970
15, -608, 1571
389, -419, 1387
419, -254, 1296
228, -39, 1227
228, -39, 1227
129, 213, 984
-,-,-
50, 186, -11
381, 570, -241
315, 848, -692
-315, 988, -287
-666, 1084, 550
-478, 1030, 866
-224, 851, 817
-357, 511, 719
-357, 511, 719
-442, 146, 612
35, -68, 986
602, -286, 1465
451, -541, 1718
43, -770, 1772
-334, -1045, 1916
-250, -1492, 1987
-246, -1721, 1998
-551, -1438, 1998
-756, -966, 1979
-422, -564, 1446
192, -289, 1116
430, -41, 1241
479, 296, 1338
519, 481, 1062
-,-,-
313, -58, -45
135, 93, -233
142, 420, -92
390, 773, 32
390, 773, 32
107, 907, -25
-185, 953, 269
-333, 948, 517
-362, 826, 573
-456, 656, 653
-456, 656, 653
-551, 358, 586
-132, 88, 927
398, -117, 1265
432, -267, 1536
95, -621, 1604
-164, -1144, 1884
-383, -1500, 1998
-453, -1447, 1998
-351, -1281, 1998
-262, -1076, 1926
-254, -730, 1486
-95, -474, 1233
148, -159, 1227
417, 49, 990
723, 353, 839
-,-,-
336, 297, -13
336, 297, -13
450, 575, -360
96, 822, -416
-228, 989, 96
-457, 1048, 767
-414, 887, 697
-426, 680, 713
-426, 680, 713
-522, 361, 721
-336, 14, 593
138, -269, 807
306, -602, 1233
102, -768, 1599
-348, -938, 1783
-319, -1225, 1950
-98, -1311, 1998
10, -1192, 1998
167, -919, 1998
101, -594, 1805
119, -400, 1575
4, -261, 1446
4, -261, 1446
103, -141, 1214
132, 6, 1046
137, 220, 965
169, 449, 860
650, 674, 1009
-,-,-
534, -547, 671
274, -318, 593
169, -107, 255
98, 86, -173
320, 377, -354
344, 784, -134
111, 1032, -177
-281, 1158, -48
-281, 1158, -48
-663, 1163, 344
-878, 1014, 661
-1033, 612, 738
-484, 275, 642
439, 85, 1002
751, -202, 1466
613, -421, 1920
-104, -474, 1998
-610, -777, 1998
-785, -1379, 1998
-705, -1585, 1998
-764, -1470, 1998
-719, -1174, 1915
-597, -807, 1551
-177, -494, 1223
115, -270, 1162
284, -216, 1034
187, -44, 1032
-33, 209, 1156
-33, 209, 1156
-,-,-
508, -246, 942
538, -286, 217
381, -313, 77
314, -95, 603
314, -95, 603
230, 181, 202
274, 450, -272
-81, 543, -178
-271, 569, 23
-317, 548, 223
-317, 548, 223
-293, 498, 155
-140, 496, 183
-297, 380, 387
-555, 150, 426
-691, -14, 341
-264, -2, 577
309, 65, 1185
309, 65, 1185
710, -96, 1442
716, -388, 1775
453, -715, 1981
46, -945, 1998
-12, -1057, 1998
-62, -1057, 1998
-76, -803, 1998
83, -562, 1995
346, -492, 1658
418, -419, 1321
418, -419, 1321
258, -279, 1096
131, -138, 959
-,-,-
127, -290, -12
203, -45, -63
515, 310, -228
330, 663, -373
-270, 799, -151
-512, 909, 261
-512, 909, 261
-222, 944, 501
-271, 875, 727
-469, 630, 1004
-308, 214, 943
178, -184, 656
388, -520, 910
143, -697, 1419
-172, -862, 1712
-110, -1054, 1959
111, -1170, 1998
134, -1264, 1998
-6, -1216, 1967
-6, -1216, 1967
-131, -999, 1686
8, -682, 1772
191, -431, 1974
219, -341, 1672
183, -132, 1427
-,-,-
623, -67, -159
222, 183, -12
-305, 477, -45
-81, 669, 96
166, 772, 340
166, 772, 340
-70, 738, 709
-117, 557, 928
-228, 444, 975
-300, 120, 811
-288, -128, 623
-385, -266, 568
-313, -311, 495
-77, -299, 775
-77, -299, 775
68, -257, 1265
326, -249, 1477
626, -263, 1531
675, -360, 1585
497, -564, 1742
423, -907, 1963
218, -1011, 1998
-109, -903, 1998
-251, -950, 1975
-263, -1109, 1836
-506, -875, 1967
-603, -360, 1907
-518, 227, 1364
-127, 610, 742
582, 674, 354
582, 674, 354
1145, 773, 705
-,-,-
545, -305, 546
520, -162, 175
520, -162, 175
194, 32, -166
96, 320, -168
255, 606, -122
63, 797, 62
-358, 872, 255
-358, 872, 255
-636, 833, 441
-723, 745, 635
-540, 521, 650
-261, 224, 730
135, -95, 734
256, -252, 888
102, -345, 1277
102, -345, 1277
-23, -508, 1814
-9, -712, 1987
31, -879, 1948
210, -883, 1998
524, -943, 1998
659, -973, 1998
360, -805, 1997
80, -656, 1839
-121, -635, 1592
-251, -726, 1434
-107, -667, 1698
342, -117, 1925
-579, 419, 1014
-732, 729, 556
-732, 729, 556
-,-,-
373, -215, 495
373, -215, 495
330, -56, 68
87, 200, -320
-148, 442, -424
-239, 644, -304
-393, 827, 184
-428, 915, 456
-428, 915, 456
-514, 907, 841
-491, 663, 791
-128, 385, 753
171, 159, 874
358, 10, 1221
48, -224, 1499
-303, -648, 1513
-303, -648, 1971
-579, -915, 1971
-637, -999, 1998
-413, -1167, 1978
-154, -1345, 1996
-539, -1015, 1728
-472, -691, 1442
-293, -436, 1203
-64, -211, 1256
-64, -211, 1256
17, -33, 1290
136, 134, 1265
-,-,-
177, -290, 948
351, -299, 914
57, -123, 557
57, -123, 557
-15, -39, 108
-46, 119, -281
-111, 285, -258
-37, 517, -52
123, 699, 35
-102, 837, 285
-102, 837, 285
-206, 797, 410
49, 676, 552
80, 472, 1008
-119, 186, 1145
-342, -220, 1073
-917, -675, 1056
-782, -870, 1237
-562, -716, 1600
-301, -558, 1567
-11, -384, 1608
491, -224, 1578
491, -224, 1578
732, -148, 1716
744, -314, 1447
437, -546, 1345
-130, -737, 1857
-543, -681, 1998
-1164, -766, 1998
-969, -980, 1789
-900, -511, 1907
-611, 123, 1725
-460, 537, 937
-,-,-
299, 15, 141
671, 189, -180
417, 535, -320
-148, 758, 24
-427, 948, 54
-427, 948, 54
-405, 972, 157
-468, 892, 568
-446, 690, 760
-164, 455, 578
7, 276, 751
218, 107, 1223
218, 107, 1223
299, -161, 1383
275, -459, 1635
204, -567, 1869
-166, -639, 1998
-358, -950, 1998
-175, -1206, 1998
-58, -1093, 1998
-97, -846, 1998
-143, -600, 1770
-55, -418, 1400
56, -298, 1243
-71, -80, 1163
-73, 151, 1052
-,-,-
629, -153, 1815
382, -280, 1546
-64, -340, 1083
-41, -361, 900
45, -309, 624
1, -169, 34
1, -169, 34
-338, 132, -337
-540, 420, -552
-56, 724, -575
-114, 1065, -393
-312, 1209, -236
-225, 1275, 81
-326, 1034, 311
-357, 654, 544
-161, 300, 828
-161, 300, 828
200, -54, 904
538, -517, 1494
269, -680, 1998
-214, -874, 1998
-513, -1121, 1998
-401, -1367, 1998
-139, -1235, 1998
-143, -950, 1951
47, -613, 1738
253, -448, 1273
304, -336, 1102
178, -247, 1277
122, -61, 1300
-23, 149, 1187
-23, 149, 1187
-,-,-
271, 435, 1
271, 435, 1
120, 595, 13
89, 719, 49
89, 719, 49
-74, 732, 147
-236, 719, 326
-360, 611, 687
-210, 440, 769
149, 252, 690
149, 252, 690
149, -24, 582
210, -188, 829
71, -314, 1180
-89, -660, 1528
-42, -1145, 1985
2, -1408, 1998
-92, -1491, 1998
-117, -1368, 1998
-325, -1105, 1998
-501, -768, 1849
-488, -410, 1292
-231, -2, 1006
-13, 277, 887
-13, 277, 887
389, 458, 896
-,-,-
184, 8, -107
178, 212, -450
36, 493, -448
36, 493, -448
16, 748, -252
-271, 870, 28
-543, 871, 519
-496, 714, 702
-196, 499, 790
-196, 499, 790
232, 238, 813
520, -46, 1008
567, -213, 1130
283, -347, 1381
102, -664, 1606
268, -1088, 1987
34, -1326, 1998
-428, -1397, 1998
-628, -1327, 1958
-501, -1052, 1719
-386, -728, 1583
-328, -452, 1429
-279, -252, 1174
-61, 3, 1015
344, 321, 1082
344, 321, 1082
531, 484, 1113
-,-,-
232, -241, -16
277, -67, -160
213, 248, -288
174, 511, -71
0, 704, 183
-300, 716, 188
-300, 716, 188
-422, 682, 347
-422, 582, 467
-440, 432, 579
-369, 214, 659
84, 42, 586
279, -45, 825
279, -45, 825
350, -184, 1259
555, -402, 1387
586, -536, 1799
161, -656, 1904
-195, -898, 1840
-250, -1245, 1799
-247, -1279, 1983
-474, -1047, 1998
-619, -787, 1998
-567, -502, 1926
-370, -256, 1567
-145, 40, 1466
22, 424, 1371
152, 721, 1077
-,-,-
417, -70, 707
29, 52, 431
108, 248, 102
372, 328, -196
100, 427, -66
100, 427, -66
-392, 513, 232
-450, 613, 126
-457, 591, 370
-426, 446, 294
-282, 331, 386
-23, 264, 645
-23, 264, 645
536, 102, 949
389, -333, 1375
43, -603, 1863
-307, -614, 1998
-307, -633, 1998
-152, -799, 1983
106, -890, 1998
286, -863, 1998
119, -695, 1986
14, -505, 1663
14, -505, 1663
87, -438, 1419
62, -299, 1426
41, -66, 1525
-66, 182, 1362
-203, 384, 1057
179, 525, 981
410, 687, 1119
410, 687, 1119
596, 770, 1188
544, 754, 1020
-,-,-
36, 132, 45
190, 261, -164
3, 485, -202
3, 485, -202
-142, 621, 87
-62, 663, 262
-110, 631, 409
-254, 539, 536
-254, 539, 536
-395, 282, 412
-91, 23, 496
361, -272, 678
465, -654, 1094
58, -813, 1498
-452, -808, 1752
-293, -1015, 1878
177, -1339, 1998
315, -1323, 1998
-27, -995, 1998
-172, -680, 1852
-137, -478, 1295
-9, -259, 1066
-9, -259, 1066
333, 76, 980
446, 278, 1129
424, 467, 1179
588, 644, 1165
673, 725, 1108
-,-,-
-107, 246, -131
279, 308, -634
-134, 559, -499
-195, 732, 57
-195, 732, 57
-130, 757, 22
-87, 736, 28
-295, 645, 368
-321, 482, 620
-93, 205, 1009
-93, 205, 1009
289, -263, 1137
466, -603, 1474
70, -634, 1971
73, -782, 1998
490, -1136, 1998
491, -1412, 1998
243, -1284, 1998
-144, -1050, 1978
-253, -801, 1626
-277, -576, 1159
-15, -339, 1098
185, 29, 953
380, 250, 760
-,-,-
560, -197, 205
293, 138, 223
-88, 410, 270
-300, 605, 195
-171, 681, 142
33, 709, 385
33, 709, 385
-165, 650, 467
-216, 513, 458
-148, 324, 445
19, 97, 483
19, 97, 483
466, -56, 576
587, -305, 733
295, -687, 914
-103, -935, 1609
-188, -968, 1998
32, -1251, 1998
248, -1445, 1998
-38, -1332, 1998
-163, -1037, 1994
5, -714, 1657
5, -714, 1657
322, -477, 1174
435, -290, 1165
307, -33, 1223
211, 133, 1215
128, 239, 1059
-,-,-
435, -52, -38
373, 270, -243
-166, 589, -549
-252, 792, -168
37, 993, 299
-217, 925, 417
-217, 925, 417
-377, 799, 632
-353, 547, 705
-277, 281, 558
94, 89, 710
378, -54, 1099
516, -411, 1296
516, -411, 1296
410, -813, 1798
275, -983, 1998
310, -991, 1998
329, -1064, 1998
348, -1157, 1998
155, -1151, 1983
-179, -945, 1946
-279, -755, 1540
-226, -618, 1153
-165, -504, 1196
-166, -223, 1486
-150, 126, 1552
-42, 399, 1272
421, 608, 918
1084, 657, 821
-,-,-
-81, 266, -41
220, 406, -118
303, 634, -74
164, 745, 243
164, 745, 243
-155, 763, 398
-29, 681, 463
-65, 553, 437
-255, 326, 533
-363, 89, 692
-363, 89, 692
-9, -111, 875
313, -347, 1345
174, -675, 1591
-69, -880, 1917
59, -1017, 1998
386, -1239, 1998
401, -1338, 1998
226, -1110, 1998
-144, -825, 1921
-314, -634, 1517
-269, -412, 1153
6, -152, 1080
26, 153, 1195
26, 153, 1195
181, 358, 966
405, 566, 725
738, 658, 855
-,-,-
-183, -285, 308
244, -330, 158
369, -74, 31
398, 236, -89
265, 504, -464
265, 504, -464
-106, 741, -317
-235, 893, 73
-172, 936, 297
-357, 844, 470
-445, 690, 641
-159, 418, 674
411, 25, 986
411, 25, 986
637, -293, 1148
166, -433, 1549
-178, -534, 1962
80, -873, 1998
532, -1172, 1998
450, -1134, 1998
85, -1029, 1998
-109, -863, 1998
-168, -777, 1775
-126, -590, 1634
-141, -388, 1403
-81, -192, 1271
68, -53, 1226
68, -53, 1226
93, 221, 1128
272, 451, 907
541, 640, 703
-,-,-
-299, -86, -79
95, 62, -305
95, 62, -305
756, 346, -353
152, 544, -68
-68, 675, 239
206, 745, 308
123, 694, 533
123, 694, 533
4, 518, 832
-128, 236, 724
-70, -142, 748
-45, -321, 1048
-134, -431, 1351
-165, -649, 1491
-2, -923, 1652
-2, -923, 1652
169, -1073, 1962
348, -1014, 1998
541, -973, 1998
564, -874, 1998
415, -771, 1869
221, -641, 1628
62, -427, 1516
36, -241, 1329
53, -43, 1205
66, 155, 1043
66, 155, 1043
280, 417, 909
685, 576, 947
799, 677, 1240
-,-,-
